Name,stop_id,stop_code,stop_descr,stop_desr_,stop_stree,dierxomene
"000036: ΑΦΕΤΗΡΙΑ 504","000036","10802",ΑΦΕΤΗΡΙΑ 504,AFETHRIA 504,,"537, 725, 726"
"000037: 2η ΠΛ. ΑΡΙΣΤΟΤΕΛΟΥΣ","000037","10803",2η ΠΛ. ΑΡΙΣΤΟΤΕΛΟΥΣ,2nd PL. ARISTOTELOYS,,"725, 726"
"000050: ΝΕΟΣ ΒΟΥΤΖΑΣ","000050","11162",ΝΕΟΣ ΒΟΥΤΖΑΣ,NEOS BOYTZAS,,"314"
"000051: Μ. ΑΛΕΞΑΝΔΡΟΥ","000051","10807",Μ. ΑΛΕΞΑΝΔΡΟΥ,M. ALEXANDROY,,"726"
"000053: ΚΑΝΤΖΑ 1","000053","10942",ΚΑΝΤΖΑ 1,KANTZA 1,,"307"
"000072: ΑΦΕΤΗΡΙΑ 324","000072","10758",ΑΦΕΤΗΡΙΑ 324,AFETHRIA 324,,"301, 324"
"000097: ΠΟΛΥΓΩΝΟ","000097","10298",ΠΟΛΥΓΩΝΟ,POLYGONO,,"140"
"000098: ΓΛΥΦΑΔΑ","000098","10299",ΓΛΥΦΑΔΑ,GLYFADA,,"140"
"000099: ΑΧΑΡΝΑΙ","000099","10300",ΑΧΑΡΝΑΙ,AXARNAI,,"537, 712, 728, 733, 734, 735, 752, 878, 879"
"000100: ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ","000100","10301",ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,THRAKOMAKEDONES,,"504, 725"
"000102: ΖΩΓΡΑΦΟΥ","000102","10303",ΖΩΓΡΑΦΟΥ,ZOGRAFOY,,"220, 221, 235"
"000103: ΑΛΙΜΟΣ","000103","10305",ΑΛΙΜΟΣ,ALIMOS,,"101"
"000104: ΕΛΛΗΝΙΚΟ","000104","10304",ΕΛΛΗΝΙΚΟ,ELLHNIKO,,"101"
"000105: ΠΕΥΚΑΚΙΑ ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","000105","10307",ΠΕΥΚΑΚΙΑ ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,PEYKAKIA AG. PARASKEYHS,,"406"
"000106: ΣΤ. ΝΟΜΙΣΜΑΤΟΚΟΠΕΙΟ","000106","10306",ΣΤ. ΝΟΜΙΣΜΑΤΟΚΟΠΕΙΟ,ST. NOMISMATOKOPEIO,,"304, 305, 308, 316"
"000107: ΣΤ. ΣΥΓΓΡΟΥ ΦΙΞ","000107","10308",ΣΤ. ΣΥΓΓΡΟΥ ΦΙΞ,ST. SYGGROY FIX,,"910, Β2"
"000108: Π. ΦΑΛΗΡΟ","000108","10312",Π. ΦΑΛΗΡΟ,P. FALHRO,,"550, 860"
"000109: ΒΑΡΥΜΠΟΜΠΗ","000109","10313",ΒΑΡΥΜΠΟΜΠΗ,BARYMPOMPH,,"503, 537"
"000110: ΖΗΡΙΝΕΙΟ","000110","10315",ΖΗΡΙΝΕΙΟ,ZHRINEIO,,"503, 507, 509, 509Β, 535, 535Α, 536"
"000111: ΣΤΑΜΑΤΑ","000111","10314",ΣΤΑΜΑΤΑ,STAMATA,,"507"
"000112: ΠΡΟΑΣΤΙΑΚΟΣ 2","000112","10316",ΠΡΟΑΣΤΙΑΚΟΣ 2,PROASTIAKOS 2,,"120, 307, 308, 309, 330"
"000113: ΣΤ. ΑΡΓΥΡΟΥΠΟΛΗ","000113","10317",ΣΤ. ΑΡΓΥΡΟΥΠΟΛΗ,ST. ARGYROYPOLH,,"142"
"000115: ΑΚΡΟΠΟΛΗ","000115","10319",ΑΚΡΟΠΟΛΗ,AKROPOLH,,"230"
"000116: ΖΩΓΡΑΦΟΥ","000116","10320",ΖΩΓΡΑΦΟΥ,ZOGRAFOY,,"230"
"000118: ΑΝΩ ΠΕΤΡΑΛΩΝΑ","000118","10322",ΑΝΩ ΠΕΤΡΑΛΩΝΑ,ANO PETRALONA,,"227"
"000119: ΑΓ. ΑΡΤΕΜΙΟΣ","000119","10323",ΑΓ. ΑΡΤΕΜΙΟΣ,AG. ARTEMIOS,,"227"
"000120: ΑΓ. ΔΗΜΗΤΡΙΟΣ (ΣΤ.  ΔΑΦΝΗ)","000120","10324",ΑΓ. ΔΗΜΗΤΡΙΟΣ (ΣΤ.  ΔΑΦΝΗ),AG. DHMHTRIOS (ST. DAFNH),,"217, 229"
"000121: ΑΓ. ΕΛΕΥΘΕΡΙΟΣ","000121","10326",ΑΓ. ΕΛΕΥΘΕΡΙΟΣ,AG. ELEYTHERIOS,,"703"
"000122: ΑΝΩ ΒΡΙΛΗΣΣΙΑ","000122","10327",ΑΝΩ ΒΡΙΛΗΣΣΙΑ,ANO BRILHSSIA,,"447"
"000123: ΧΑΛΑΝΔΡΙ","000123","10328",ΧΑΛΑΝΔΡΙ,XALANDRI,,"18, 447"
"000124: ΠΛΑΤΕΙΑ  ΛΑΥΡΙΟΥ","000124","10329",ΠΛΑΤΕΙΑ  ΛΑΥΡΙΟΥ,PLATEIA LAYRIOY,,"6"
"000125: Ν. ΦΙΛΑΔΕΛΦΕΙΑ","000125","10330",Ν. ΦΙΛΑΔΕΛΦΕΙΑ,N. FILADELFEIA,,"6"
"000126: ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ","000126","10331",ΝΕΑ ΦΙΛΑΔΕΛΦΕΙΑ,N. FILADELFEIA,,"3, 3*"
"000127: ΝΕΟ ΨΥΧΙΚΟ","000127","10332",ΝΕΟ ΨΥΧΙΚΟ,NEO PSYXIKO,,"3, 3*"
"000128: ΛΑΜΠΡΙΝΗ","000128","10334",ΛΑΜΠΡΙΝΗ,LAMPRINH,,"14 , 5, 5*"
"000129: ΤΖΙΤΖΙΦΙΕΣ","000129","10333",ΤΖΙΤΖΙΦΙΕΣ,TZITZIFIES,,"10, 10*, 5, 5*, 910"
"000130: ΠΛ. ΧΑΛΑΝΔΡΙΟΥ","000130","10335",ΠΛ. ΧΑΛΑΝΔΡΙΟΥ,PL. XALANDRIOY,,"10, 10*, 411"
"000131: ΑΝΩ ΠΑΤΗΣΙΑ","000131","10337",ΑΝΩ ΠΑΤΗΣΙΑ,ANO PATHSIA,,"11"
"000132: Ν. ΕΛΒΕΤΙΑ","000132","10336",Ν. ΕΛΒΕΤΙΑ,N. ELBETIA,,"11"
"000134: ΓΑΛΑΤΣΙ","000134","10340",ΓΑΛΑΤΣΙ,GALATSI,,"608"
"000135: ΝΕΚΡΟΤΑΦΕΙΟ ΖΩΓΡΑΦΟΥ","000135","10339",ΝΕΚΡΟΤΑΦΕΙΟ ΖΩΓΡΑΦΟΥ,NEKROTAFEIO ZOGRAFOY,,"608"
"000136: ΣΥΝΤΑΓΜΑ","000136","10341",ΣΥΝΤΑΓΜΑ,SYNTAGMA,,"040"
"000137: ΣΑΡΩΝΙΔΑ","000137","10342",ΣΑΡΩΝΙΔΑ,SARONIDA,,"122, 123"
"000138: ΖΑΠΠΕΙΟ","000138","10343",ΖΑΠΠΕΙΟ,ZAPPEIO,,"12, 12*, Ε14, Χ14"
"000139: ΑΓ. ΙΕΡΟΘΕΟΣ","000139","10344",ΑΓ. ΙΕΡΟΘΕΟΣ,AG. IEROTHEOS,,"12, 12*"
"000140: ΠΕΤΡΑΛΩΝΑ","000140","10346",ΠΕΤΡΑΛΩΝΑ,PETRALONA,,"15, 15*"
"000141: ΕΛ. ΒΕΝΙΖΕΛΟΥ","000141","10345",ΕΛ. ΒΕΝΙΖΕΛΟΥ,EL. BENIZELOY,,"15, 15*"
"000142: ΒΑΡΚΙΖΑ","000142","10347",ΒΑΡΚΙΖΑ,BARKIZA,,"171"
"000143: ΑΝΩ ΝΕΑ ΣΜΥΡΝΗ","000143","10348",ΑΝΩ ΝΕΑ ΣΜΥΡΝΗ,ANO NEA SMYRNH,,"136, 137"
"000144: ΑΓ. ΒΑΡΒΑΡΑ","000144","10349",ΑΓ. ΒΑΡΒΑΡΑ,AG. BARBARA,,"106, 126"
"000145: ΠΛ. ΑΤΤΙΚΗΣ","000145","10351",ΠΛ. ΑΤΤΙΚΗΣ,PL. ATTIKHS,,"1, 1*"
"000146: ΜΟΣΧΑΤΟ","000146","10350",ΜΟΣΧΑΤΟ,MOSXATO,,"1, 1*"
"000147: ΚΑΙΣΑΡΙΑΝΗ","000147","10352",ΚΑΙΣΑΡΙΑΝΗ,KAISARIANH,,"2"
"000149: ΣΤ. ΜΕΤΡΟ ΑΓ. ΙΩΑΝΝΗΣ","000149","10354",ΣΤ. ΜΕΤΡΟ ΑΓ. ΙΩΑΝΝΗΣ,ST. METRO AG. IOANNΗS,,"4"
"000150: ΣΤ. ΧΑΛΑΝΔΡΙ","000150","10355",ΣΤ. ΧΑΛΑΝΔΡΙ,ST. XALANDRI,,"19"
"000151: ΑΡΤΕΜΙΣ (ΑΓ. ΝΙΚΟΛΑΟΣ)","000151","10356",ΑΡΤΕΜΙΣ (ΑΓ. ΝΙΚΟΛΑΟΣ),ARTEMIS (AG. NIKOLAOS),,"305, 316, 323"
"000152: ΣΤ. ΑΓ. ΔΗΜΗΤΡΙΟΣ","000152","10358",ΣΤ. ΑΓ. ΔΗΜΗΤΡΙΟΣ,ST. AG. DHMHTRIOS,,"201"
"000153: ΑΡΓΥΡΟΥΠΟΛΗ","000153","10357",ΑΡΓΥΡΟΥΠΟΛΗ,ARGYROYPOLH,,"201"
"000154: Ν. ΚΗΦΙΣΙΑ","000154","10359",Ν. ΚΗΦΙΣΙΑ,N. KHFISIA,,Β9
"000155: ΒΟΥΛΑ","000155","10360",ΒΟΥΛΑ,BOYLA,,"162, Α1, Α2"
"000156: ΣΥΝΤΑΓΜΑ","000156","10361",ΣΥΝΤΑΓΜΑ,SYNTAGMA,,Χ95
"000157: ΑΡΤΕΜΙΣ","000157","10362",ΑΡΤΕΜΙΣ,ARTEMIS,,"304"
"000158: ΣΤ. ΔΟΥΚ. ΠΛΑΚΕΝΤΙΑΣ","000158","10363",ΣΤ. ΔΟΥΚ. ΠΛΑΚΕΝΤΙΑΣ,ST. DOYK. PLAKENTIAS,,"306, 307"
"000160: ΣΤ. ΔΟΥΚ. ΠΛΑΚΕΝΤΙΑΣ","000160","10365",ΣΤ. ΔΟΥΚ. ΠΛΑΚΕΝΤΙΑΣ,ST. DOYK. PLAKENTIAS,,"301, 301Β, 302, 314, 319, 400, 407, 411"
"000161: ΠΟΛΥΔΡΟΣΟ","000161","10366",ΠΟΛΥΔΡΟΣΟ,POLYDROSO,,"402"
"000162: ΣΤ. ΧΑΛΑΝΔΡΙ","000162","10368",ΣΤ. ΧΑΛΑΝΔΡΙ,ST. XALANDRI,,"405, 450, 451, 460, 461"
"000164: Ν. ΠΕΝΤΕΛΗ - ΠΛ.ΑΓ.ΣΙΛΑ","000164","10369",Ν. ΠΕΝΤΕΛΗ - ΠΛ.ΑΓ.ΣΙΛΑ,N. PENTELH - PL. AG. SILA,,"450"
"000165: ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ","000165","10370",ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ,AG. IOANNHS RENTHS,,"16"
"000166: ΝΙΚΑΙΑ","000166","10371",ΝΙΚΑΙΑ,NIKAIA,,"21"
"000167: ΚΑΜΑΤΕΡΟ","000167","10373",ΚΑΜΑΤΕΡΟ,KAMATERO,,"25"
"000168: ΣΤΟΥΡΝΑΡΗ","000168","10374",ΣΤΟΥΡΝΑΡΗ,STOYRNARH,,Α7
"000169: ΣΤΡ. ΣΑΚΕΤΑ","000169","10375",ΣΤΡ. ΣΑΚΕΤΑ,STR. SAKETA,,"204"
"000170: ΣΤ. ΕΙΡΗΝΗ","000170","10383",ΣΤ. ΕΙΡΗΝΗ,ST. EIRHNH,,"444"
"000171: ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ","000171","10384",ΠΑΝΕΠΙΣΤΗΜΙΟΥΠΟΛΗ,PANEPISTHMIOYPOLH,,"250"
"000173: ΜΕΛΙΣΣΙΑ","000173","10386",ΜΕΛΙΣΣΙΑ,MELISSIA,,"410"
"000174: ΠΑΠΑΓΟΥ","000174","10387",ΠΑΠΑΓΟΥ,PAPAGOY,,"409"
"000175: ΑΓ. ΠΑΡΑΣΚΕΥΗ","000175","10389",ΑΓ. ΠΑΡΑΣΚΕΥΗ,AG. PARASKEYH,,"421"
"000176: ΜΕΤΑΜΟΡΦΩΣΗ","000176","10390",ΜΕΤΑΜΟΡΦΩΣΗ,METAMORFOSH,,"541"
"000177: ΖΩΟΔΟΧΟΣ ΠΗΓΗ","000177","10391",ΖΩΟΔΟΧΟΣ ΠΗΓΗ,ZOODOXOS PHGH,,"730"
"000179: Π. ΠΕΝΤΕΛΗ - ΝΟΣΟΚΟΜΕΙΟ","000179","10393",Π. ΠΕΝΤΕΛΗ - ΝΟΣΟΚΟΜΕΙΟ,P. PENTELH - NOSOKOMEIO,,"446, 460, 461"
"000180: Ν. ΠΕΝΤΕΛΗ - ΠΛ.ΑΓ.ΣΙΛΑ","000180","10394",Ν. ΠΕΝΤΕΛΗ - ΠΛ.ΑΓ.ΣΙΛΑ,N. PENTELH - PL. AG. SILA,,"451, 530"
"000181: ΤΟΠΙΚΗ ΗΡΑΚΛΕΙΟΥ","000181","10396",ΤΟΠΙΚΗ ΗΡΑΚΛΕΙΟΥ,TOPIKH HRAKLEIOY,,"602, 642"
"000183: ΣΤ. ΛΑΡΙΣΗΣ","000183","10398",ΣΤ. ΛΑΡΙΣΗΣ,ST. LARISHS,,"728, Β10"
"000184: ΑΝΘΟΥΣΑ","000184","10400",ΑΝΘΟΥΣΑ,ANTHOYSA,,Α5
"000185: ΑΚΑΔΗΜΙΑ","000185","10399",ΑΚΑΔΗΜΙΑ,AKADHMIA,,"060, Α5"
"000187: ΦΙΛΟΘΕΗ","000187","10402",ΦΙΛΟΘΕΗ,FILOTHEH,,"610"
"000188: ΑΝΩ ΕΛΕΥΣΙΝΑ","000188","10407",ΑΝΩ ΕΛΕΥΣΙΝΑ,ANO ELEYSINA,,"862"
"000189: ΑΦΕΤΗΡΙΑ - ΠΑΝΟΡΜΟΥ","000189","10408",ΑΦΕΤΗΡΙΑ - ΠΑΝΟΡΜΟΥ,AFETHRIA - PANORMOY,,"653"
"000190: ΟΜΟΝΟΙΑ","000190","10409",ΟΜΟΝΟΙΑ,OMONOIA,,"838, 914"
"000191: ΑΓ. ΒΑΣΙΛΕΙΟΣ","000191","10411",ΑΓ. ΒΑΣΙΛΕΙΟΣ,AG. BASILEIOS,,"909"
"000193: ΛΟΦΟΣ ΒΩΚΟΥ - ΠΑΝΑΓΙΑ ΟΔΗΓΗΤΡΙΑ","000193","10412",ΛΟΦΟΣ ΒΩΚΟΥ - ΠΑΝΑΓΙΑ ΟΔΗΓΗΤΡΙΑ,LOFOS BOKOY - PANAGIA ODHGHTRIA,ΧΑΪΔΑΡΙΟΥ,"915"
"000194: ΣΤ. ΛΑΡΙΣΗΣ","000194","10414",ΣΤ. ΛΑΡΙΣΗΣ,ST. LARISHS,,Β5
"000195: ΑΓ. ΠΑΡΑΣΚΕΥΗ","000195","10413",ΑΓ. ΠΑΡΑΣΚΕΥΗ,AG. PARASKEYH,,Β5
"000196: ΣΤ. ΑΜΑΡΟΥΣΙΟΥ","000196","10416",ΣΤ. ΑΜΑΡΟΥΣΙΟΥ,ST. AMAROYSIOY,,"410, 446"
"000200: ΔΙΟΝΥΣΟΣ","000200","10419",ΔΙΟΝΥΣΟΣ,DIONYSOS,,"536"
"000201: ΠΕΙΡΑΙΑΣ ΑΓ. ΣΠΥΡΙΔΩΝ","000201","10309",ΠΕΙΡΑΙΑΣ ΑΓ. ΣΠΥΡΙΔΩΝ,PEIRAIAS AG. SPYRIDON,,"17, 17*"
"000202: Ν. ΦΑΛΗΡΟ","000202","10310",Ν. ΦΑΛΗΡΟ,N. FALHRO,,"20, 20*"
"000203: ΠΕΤΡΟΥΠΟΛΗ","000203","10311",ΠΕΤΡΟΥΠΟΛΗ,PETROYPOLH,,"24, 700, 719"
"000205: ΑΝΩ ΑΓ. ΒΑΡΒΑΡΑ","000205","10421",ΑΝΩ ΑΓ. ΒΑΡΒΑΡΑ,ANO AG. BARBARA,,"837"
"000206: ΑΣΠΡΟΠΥΡΓΟΣ","000206","10423",ΑΣΠΡΟΠΥΡΓΟΣ,ASPROPYRGOS,,"805"
"000207: ΝΕΟΚΤΙΣΤΑ","000207","10422",ΝΕΟΚΤΙΣΤΑ,NEOKTISTA,,"805"
"000208: ΠΑΛΑΤΑΚΙ","000208","10428",ΠΑΛΑΤΑΚΙ,PALATAKI,,Β15
"000209: ΑΜ/ΣΙΟ ΑΓ. ΔΗΜΗΤΡΙΟΥ","000209","10429",ΑΜ/ΣΙΟ ΑΓ. ΔΗΜΗΤΡΙΟΥ,AM/SIO AG. DHMHTRIOY,,"131"
"000210: ΣΤ. ΚΗΦΙΣΙΑ (ΤΑΤΟΪΟΥ) 543-543Α","000210","10431",ΣΤ. ΚΗΦΙΣΙΑ (ΤΑΤΟΪΟΥ) 543-543Α,ST. KHFISIA (TATOIOY) 543-543A,ΤΑΤΟΪΟΥ,"543, 543Α"
"000211: ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ","000211","10430",ΝΟΣ. ΑΓ. ΑΝΑΡΓΥΡΟΙ,NOS. AG. ANARGYROI,,"604"
"000212: ΑΜΑΞΟΣΤΑΣΙΟ ΔΗΜΟΥ ΠΕΤΡΟΥΠΟΛΗΣ","000212","12277",ΑΜΑΞΟΣΤΑΣΙΟ ΔΗΜΟΥ ΠΕΤΡΟΥΠΟΛΗΣ,,,"747, Α11, Β11"
"000213: ΣΤ. ΚΑΛΛΙΘΕΑ","000213","10433",ΣΤ. ΚΑΛΛΙΘΕΑ,ST. KALLITHEA,,"219, 911, 911Α"
"000214: ΠΑΛΑΣΚΑ","000214","10434",ΠΑΛΑΣΚΑ,PALASKA,,"801, 836"
"000215: ΑΝΩ ΛΙΟΣΙΑ","000215","10436",ΑΝΩ ΛΙΟΣΙΑ,ANO LIOSIA,,"709"
"000216: ΜΕΤΑΜΟΡΦΩΣΗ","000216","10437",ΜΕΤΑΜΟΡΦΩΣΗ,METAMORFOSH,,"619"
"000217: Α. ΛΙΟΣΙΑ (ΠΑΝΟΡΑΜΑ)","000217","10438",Α. ΛΙΟΣΙΑ (ΠΑΝΟΡΑΜΑ),A. LIOSIA,,Β12
"000218: ΟΛΥΜΠ. ΧΩΡΙΟ","000218","10439",ΟΛΥΜΠ. ΧΩΡΙΟ,OLYMP. XORIO,,"740"
"000219: ΤΑΥΡΟΣ","000219","10440",ΤΑΥΡΟΣ,TAYROS,,"816"
"000220: ΠΕΥΚΗ","000220","10441",ΠΕΥΚΗ,PEYKH,,"501, 527"
"000221: ΧΑΡΑΥΓΗ","000221","10473",ΧΑΡΑΥΓΗ,XARAYGH,,"848"
"000222: ΨΥΧΙΚΟ","000222","10474",ΨΥΧΙΚΟ,PSYXIKO,,"651"
"000224: ΑΓ. ΑΝΑΡΓΥΡΟΙ","000224","10575",ΑΓ. ΑΝΑΡΓΥΡΟΙ,AG. ANARGYROI,,"420, 421"
"000227: ΑΙΓΑΛΕΩ","000227","10629",ΑΙΓΑΛΕΩ,AIGALEO,,"829, 831"
"000228: ΑΦΕΤΗΡΙΑ","000228","10637",ΑΦΕΤΗΡΙΑ,AFETHRIA,,"702"
"000229: ΤΕΡΜΑ","000229","10639",ΤΕΡΜΑ,TERMA,,"702"
"000230: ΤΕΡΜΑ","000230","10644",ΤΕΡΜΑ,TERMA,,"20, 20*"
"00051: ΝΕΑ ΜΑΚΡΗ","00051","12083",ΝΕΑ ΜΑΚΡΗ,NEA MAKRH,ΛΙΒΥΣΙΟΥ,"314"
"00063: ΜΑΡΑΘΩΝΑΣ 3","00063","12115",ΜΑΡΑΘΩΝΑΣ 3,MARATHONAS 3,,"310"
"000882: ΕΚΕΜΣ","000882","10990",ΕΚΕΜΣ,EKEMS,,204Β
"00212: ΑΦΕΤΗΡΙΑ 122","00212","11688",ΑΦΕΤΗΡΙΑ 122,AFETHRIA 122,ΠΑΡΑΔΡΟΜΟΣ Λ. ΒΟΥΛΙΑΓΜΕΝΗΣ,"122"
"0022: ΕΚΚΛΗΣΙΑ ΒΑΡΗΣ","0022","11714",ΕΚΚΛΗΣΙΑ ΒΑΡΗΣ,EKKLHSIA BARHS,ΒΑΚΧΟΥ,"Α1, Α2"
"0051: ΡΑΦΗΝΑ ΤΕΡΜΑ 314","0051","11409",ΡΑΦΗΝΑ ΤΕΡΜΑ 314,RAFHNA TERMA 314,ΝΑΡΚΙΣΣΟΥ,"310"
"0054: ΠΕΡΙΣΣΟΣ 054","0054","11476",ΠΕΡΙΣΣΟΣ 054,PERISSOS 054,ΜΗΔΕΙΑΣ,"054"
"010001: ΣΤΡΟΦΗ","010001","10001",ΣΤΡΟΦΗ,STROFH,ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 837"
"010002: ΚΟΛΩΝΕΣ","010002","10002",ΚΟΛΩΝΕΣ,KOLONES,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 837"
"010003: ΑΓ. ΒΑΡΒΑΡΑ","010003","10003",ΑΓ. ΒΑΡΒΑΡΑ,AG. BARBARA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 830, 837"
"010005: ΚΡΗΤΗΣ","010005","10005",ΚΡΗΤΗΣ,KRHTHS,ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣΤΩΝ,"837"
"010006: ΚΟΥΝΤΟΥΡΙΩΤΟΥ","010006","10006",ΚΟΥΝΤΟΥΡΙΩΤΟΥ,KOYNTOYRIOTOY,ΠΑΛΑΙΩΝ ΠΟΛΕΜΙΣΤΩΝ,"837"
"010007: ΔΗΜΑΡΧΕΙΟ - ΣΤ. ΑΓ. ΒΑΡΒΑΡΑ","010007","10007",ΔΗΜΑΡΧΕΙΟ - ΣΤ. ΑΓ. ΒΑΡΒΑΡΑ,DHMARXEIO - ST.  AG. BARBARA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 837, 892"
"010008: 1η ΑΓ. ΜΑΡΙΝΑΣ","010008","10008",1η ΑΓ. ΜΑΡΙΝΑΣ,1st AG. MARINAS,ΑΓ. ΜΑΡΙΝΑΣ,"837, 866, 876, 891, 892"
"010011: ΘΕΜΙΣΤΟΚΛΕΟΥΣ","010011","10011",ΘΕΜΙΣΤΟΚΛΕΟΥΣ,THEMISTOKLEOYS,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡMΑΝΟΥ,"830, 837"
"010012: ΠΑΛ. ΤΕΡΜΑ","010012","10012",ΠΑΛ. ΤΕΡΜΑ,PAL. TERMA,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡMΑΝΟΥ,"830, 837"
"010013: ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ","010013","10013",ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ,MEG. ALEXANDROY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,"830"
"010016: ΠΑΛ. ΤΕΡΜΑ","010016","10016",ΠΑΛ. ΤΕΡΜΑ,PAL. TERMA,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,"830, 837"
"010017: ΘΕΜΙΣΤΟΚΛΕΟΥΣ","010017","10017",ΘΕΜΙΣΤΟΚΛΕΟΥΣ,THEMISTOKLEOYS,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,"830, 837"
"010018: ΚΝΩΣΟΥ","010018","10018",ΚΝΩΣΟΥ,KNOSOY,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,"830, 837"
"010023: ΣΤ. ΣΑΡΑΦΗ","010023","10023",ΣΤ. ΣΑΡΑΦΗ,ST. SARAFH,ΣΤΕΦ.ΣΑΡΑΦΗ,"837"
"010024: ΑΓ. ΒΑΡΒΑΡΑ","010024","10024",ΑΓ. ΒΑΡΒΑΡΑ,AG. BARBARA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 830, 837, 892"
"010025: ΚΟΛΩΝΕΣ","010025","10025",ΚΟΛΩΝΕΣ,KOLONES,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 837, 891, 892"
"010026: ΣΤΡΟΦΗ ΑΓ.ΒΑΡΒΑΡΑΣ","010026","10026",ΣΤΡΟΦΗ ΑΓ.ΒΑΡΒΑΡΑΣ,STROFH AG.BARBARAS,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 837, 891"
"010027: 28ης ΟΚΤΩΒΡΙΟΥ","010027","10627",28ης ΟΚΤΩΒΡΙΟΥ,28th OKTOBRIOY,28ης ΟΚΤΩΒΡΙΟΥ,"830, 891"
"010028: ΣΤΡΟΦΗ ΑΓ.ΒΑΡΒΑΡΑΣ","010028","10028",ΣΤΡΟΦΗ ΑΓ.ΒΑΡΒΑΡΑΣ,STROFH AG.BARBARAS,ΙΕΡΑΣ ΟΔΟΥ,"803, 836, 866, 868, 876, 892"
"010029: ΙΚΑ","010029","10029",ΙΚΑ,IKA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 830, 837"
"010030: ΑΓ. ΕΛΕΟΥΣΑ - ΣΤ. ΑΓ. ΒΑΡΒΑΡΑ","010030","10030",ΑΓ. ΕΛΕΟΥΣΑ - ΣΤ. ΑΓ. ΒΑΡΒΑΡΑ,AG. ELEOYSA  - ST. AG. BARBARA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 830, 837"
"010031: 28ης ΟΚΤΩΒΡΙΟΥ","010031","10031",28ης ΟΚΤΩΒΡΙΟΥ,28th OKTOBRIOY,28ης ΟΚΤΩΒΡΙΟΥ,"830"
"010032: ΒΕΝΕΤΙΑ","010032","10032",ΒΕΝΕΤΙΑ,BENETIA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 750, 807, 830, 831"
"010033: ΣΤ. ΑΓ.ΒΑΡΒΑΡΑ","010033","11545",ΣΤ. ΑΓ.ΒΑΡΒΑΡΑ,ST. AG. BARBARA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 837"
"010034: ΠΑΡΚΟ ΕΛΕΝΗΣ ΦΩΚΑ","010034","11546",ΠΑΡΚΟ ΕΛΕΝΗΣ ΦΩΚΑ,PARKO ELENHS FOKA,ΗΡΑΚΛΕΙΟΥ,"837"
"010036: ΙΚΑ","010036","10036",ΙΚΑ,IKA,ΛΕΩΦ.ΕΛ.ΒΕΝΙΖΕΛΟΥ,"400, 830, 837, 892"
"010037: 5η ΚΟΡΥΔΑΛΛΟΥ","010037","10037",5η ΚΟΡΥΔΑΛΛΟΥ,5th KORYDALLOY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,"807, 831, 892"
"010040: 6η ΚΟΡΥΔΑΛΛΟΥ","010040","10040",6η ΚΟΡΥΔΑΛΛΟΥ,6th KORYDALLOY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,"807, 831, 892"
"010041: 7η ΚΟΡΥΔΑΛΛΟΥ","010041","10041",7η ΚΟΡΥΔΑΛΛΟΥ,7th KORYDALLOY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,"807, 837, 892"
