Name,stop_id,stop_code,stop_descr,stop_desr_,stop_stree,dierxomene
270144: ΠΑΝΑΓΙΑΣ ΕΛΕΥΘΕΡΩΤΡΙΑΣ,"270144","270144",ΠΑΝΑΓΙΑΣ ΕΛΕΥΘΕΡΩΤΡΙΑΣ,PANAGIAS ELEYTHEROTRIAS,ΠΑΝΑΓΙΑΣ ΕΛΕΥΘΕΡΩΤΡΙΑΣ,"524"
270145: 3η ΟΘΩΝΟΣ,"270145","270145",3η ΟΘΩΝΟΣ,3rd OTHONOS,ΟΘΩΝΟΣ,"543, 543Α, Β9"
270146: ΠΛΕΙΑΔΩΝ,"270146","270146",ΠΛΕΙΑΔΩΝ,PLEIADON,ΧΑΡ.ΤΡΙΚΟΥΠΗ,"523, 721"
270147: ΕΘΝΙΚΗ ΟΔΟΣ,"270147","270147",ΕΘΝΙΚΗ ΟΔΟΣ,ETHNIKH ODOS,ΠΑΡΑΔΡΟΜΟΥ Ε.Ο.Α.Θ.,"504, 543, 543Α, 721"
270148: 1η ΤΑΤΟΙΟΥ,"270148","270148",1η ΤΑΤΟΙΟΥ,1st TATOIOY,ΕΜ.ΜΠΕΝΑΚΗ,"504, 522, 721"
270149: ΓΑΛΗΝΗ,"270149","270149",ΓΑΛΗΝΗ,GALHNH,ΧΑΡ.ΤΡΙΚΟΥΠΗ,"504, 523, 721"
270150: ΠΛΕΙΑΔΩΝ,"270150","270150",ΠΛΕΙΑΔΩΝ,PLEIADON,ΧΑΡ.ΤΡΙΚΟΥΠΗ,"504, 523, 721"
270151: ΝΗΛΕΩΣ,"270151","270151",ΝΗΛΕΩΣ,NHLEOS,ΠΛΟΥΤΑΡΧΟΥ,"522"
270152: Ο.Α.Ε.Δ.,"270152","270152",Ο.Α.Ε.Δ.,O.A.E.D,Γ.ΛΥΡΑ,"522"
270154: ΠΕΛΟΠΟΝΝΗΣΟΥ,"270154","270154",ΠΕΛΟΠΟΝΝΗΣΟΥ,PELOPONNHSOY,ΠΕΛΟΠΟΝΝΗΣΟΥ,"523"
270155: ΑΡΓΟΛΙΔΟΣ,"270155","270155",ΑΡΓΟΛΙΔΟΣ,ARGOLIDOS,ΤΡΟΙΖΗΝΙΑΣ,"523"
270156: ΓΑΛΗΝΗ,"270156","270156",ΓΑΛΗΝΗ,GALHNH,ΧΑΡ.ΤΡΙΚΟΥΠΗ,"523, 721"
270157: 3η ΧΑΡ. ΤΡΙΚΟΥΠΗ,"270157","270157",3η ΧΑΡ. ΤΡΙΚΟΥΠΗ,3rd XAR. TRIKOYPH,ΧΑΡ.ΤΡΙΚΟΥΠΗ,"503, 523"
270158: 2η ΧΑΡ. ΤΡΙΚΟΥΠΗ,"270158","270158",2η ΧΑΡ. ΤΡΙΚΟΥΠΗ,2nd XAR.TRIKOYPH,ΧΑΡ.ΤΡΙΚΟΥΠΗ,"503, 523"
270159: 1η ΧΑΡ. ΤΡΙΚΟΥΠΗ,"270159","270159",1η ΧΑΡ. ΤΡΙΚΟΥΠΗ,1st XAR. TRIKOYPH,ΧΑΡ.ΤΡΙΚΟΥΠΗ,"503, 523"
270160: 3η ΒΑΡΥΜΠΟΜΠΗΣ,"270160","270160",3η ΒΑΡΥΜΠΟΜΠΗΣ,3rd BARYMPOMPHS,ΤΑΤΟΙΟΥ,"503"
270161: ΑΓ. ΦΑΝΟΥΡΙΟΣ,"270161","270161",ΑΓ. ΦΑΝΟΥΡΙΟΣ,AG. FANOYRIOS,Γ.ΛΥΡΑ,"543, 543Α, Β9"
270163: ΕΛΑΤΗΣ,"270163","270163",ΕΛΑΤΗΣ,ELATHS,ΤΑΤΟΙΟΥ,"503"
270165: ΛΑΚΩΝΙΑΣ,"270165","270165",ΛΑΚΩΝΙΑΣ,LAKONIAS,ΕΡΜΙΟΝΗΣ,"522"
270172: ΠΛ. ΕΛΑΙΩΝ,"270172","270172",ΠΛ. ΕΛΑΙΩΝ,PL. ELAION,ΙΛΙΣΙΩΝ,Β9
270175: ΕΡΜΙΟΝΗ,"270175","270175",ΕΡΜΙΟΝΗ,ERMIONH,ΕΡΜΙΟΝΗΣ,"504, 543, 543Α, 721"
270177: ΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ,"270177","270177",ΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ,HLEKTRIKOS STATHMOS,ΔΡΑΓΟΥΜΗ,"504, 721"
270178: Δ.Ε.Η.,"270178","270178",Δ.Ε.Η.,D.E.H,ΓΡ.ΛΑΜΠΡΑΚΗ,"504, 530, 721"
270179: ΛΕΒΙΔΟΥ,"270179","270179",ΛΕΒΙΔΟΥ,LEBIDOY,ΚΟΚΚΙΝΑΡΑ,"524, 526, 530"
270180: ΔΗΜΑΡΧΕΙΟ,"270180","270180",ΔΗΜΑΡΧΕΙΟ,DHMARXEIO,ΜΟΥΣΩΝ,"524, 526, 530"
270181: ΠΟΤΑΜΟΥ,"270181","270181",ΠΟΤΑΜΟΥ,POTAMOY,ΠΟΤΑΜΟΥ,"522"
270182: ΑΗΔΟΝΟΣ,"270182","270182",ΑΗΔΟΝΟΣ,AHDONOS,ΠΑΡ.ΕΘΝ.ΑΘΗΝΩΝ-ΛΑΜΙΑΣ,"522"
270183: ΕΡΥΜΑΝΘΟΥ,"270183","270183",ΕΡΥΜΑΝΘΟΥ,ERYMANTHOY,ΚΗΦΙΣΟΥ,"522"
270188: ΕΘΝΙΚΗ ΟΔΟΣ,"270188","270188",ΕΘΝΙΚΗ ΟΔΟΣ,ETHNIKH ODOS,ΠΑΡΑΔΡΟΜΟΥ Ε.Ο.Α.Θ.,Β9
270190: ΠΛ. Κ. ΚΑΡΑΜΑΝΛΗ,"270190","270190",ΠΛ. Κ. ΚΑΡΑΜΑΝΛΗ,PL. K. KARAMANLH,Λ. ΚΑΡΑΜΑΝΛΗ,"524"
270191: ΠΛΑΤΩΝΟΣ,"270191","270191",ΠΛΑΤΩΝΟΣ,PLATONOS,ΕΛΕΥΘΕΡΩΤΡΙΑΣ,"524"
270192: ΕΥΡΥΑΛΗΣ,"270192","270192",ΕΥΡΥΑΛΗΣ,EYRYALHS,ΠΑΝ.ΕΛΕΥΘΕΡΩΤΡΙΑΣ,"524"
270193: ΘΕΤΙΔΟΣ,"270193","270193",ΘΕΤΙΔΟΣ,THETIDOS,ΠΑΝ.ΕΛΕΥΘΕΡΩΤΡΙΑΣ,"524"
270194: ΔΗΛΙΓΙΑΝΝΗ,"270194","270194",ΔΗΛΙΓΙΑΝΝΗ,DHLIGIANNH,ΔΗΛIΓΙΑΝΝΗ,"524"
270195: ΑΥΡΑΣ,"270195","270195",ΑΥΡΑΣ,AYRAS,ΔΗΛΗΓΙΑΝΝΗ,"524"
270197: ΑΙΓΙΟΥ,"270197","270197",ΑΙΓΙΟΥ,AIGIOY,ΑΙΓΙΟΥ,"522"
270198: ΤΡΙΠΟΛΕΩΣ,"270198","270198",ΤΡΙΠΟΛΕΩΣ,TRIPOLEOS,ΑΙΓΙΟΥ,"522"
