dv_agency;dv_platenum_station;dv_validations;dv_route;routes_per_hour;load_dt;date_hour;etl_extraction_dt;etl_load_dt;dv_agency_desc;boarding_disembark_desc
1;UKN;2252;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΣTΑΘΜOΣ ΛΑΡΙΣΗΣ;199;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΠΕΥKΑKΙΑ;156;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΠΕΡΙΣΣOΣ;228;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΠΕΡΙΣTΕΡΙ;266;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΠΕΙΡΑΙΑΣ;909;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΠΕTΡΑΛΩΝΑ;402;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΠΑΝΕΠΙΣTΗΜΙΟ;552;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΠΑΝOΡΜΟΥ;719;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΠΑΛΛΗΝΗ;18;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΠΑΙΑΝΙΑ - KΑΝTΖΑ;40;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΟΜOΝΟΙΑ;945;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΝΟΜΙΣΜΑTΟKΟΠΕΙΟ;377;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΝΙΚΑΙΑ;182;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΝΕΡΑTΖΙΩTΙΣΣΑ;489;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΝΕΟΣ KOΣΜΟΣ;543;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΝΕΑ ΙΩΝΙΑ;226;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΜΟΣΧΑTΟ;186;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΣΥΓΓΡΟΥ ΦΙΞ;803;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΣΥΝTΑΓΜΑ;2264;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΦΑΛΗΡΟ;274;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
2;ΧΑΛΑΝΔΡΙ;183;;;1/9/2024 7:48;1/9/2024 0:00;;;;Boarding
4;TRAM;201;;;1/9/2024 7:49;1/9/2024 0:00;;;;Boarding
3;ΡΕΝTΗΣ;3;;;1/9/2024 7:49;1/9/2024 0:00;;;;Boarding
3;ΠΥΡΓΟΣ ΒΑΣΙΛΙΣΣΗΣ;1;;;1/9/2024 7:49;1/9/2024 0:00;;;;Boarding
3;ΠΕΝTΕΛΗΣ;9;;;1/9/2024 7:49;1/9/2024 0:00;;;;Boarding
3;ΠΕΙΡΑΙΑΣ;3;;;1/9/2024 7:49;1/9/2024 0:00;;;;Boarding
3;ΝΕΡΑTΖΙΩTΙΣΣΑ;18;;;1/9/2024 7:49;1/9/2024 0:00;;;;Boarding
