dv_agency;dv_platenum_station;dv_validations;dv_route;routes_per_hour;load_dt;date_hour;etl_extraction_dt;etl_load_dt;dv_agency_desc;boarding_disembark_desc
1;UKN;3913;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΣTΑΘΜOΣ ΛΑΡΙΣΗΣ;256;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΠΕΥKΑKΙΑ;184;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΠΕΡΙΣΣOΣ;297;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΠΕΡΙΣTΕΡΙ;388;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΠΕΙΡΑΙΑΣ;1046;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΠΕTΡΑΛΩΝΑ;410;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΠΑΝΕΠΙΣTΗΜΙΟ;779;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΠΑΝOΡΜΟΥ;934;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΠΑΛΛΗΝΗ;20;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΠΑΙΑΝΙΑ - KΑΝTΖΑ;25;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΟΜOΝΟΙΑ;1378;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΝΟΜΙΣΜΑTΟKΟΠΕΙΟ;441;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΝΙΚΑΙΑ;287;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΝΕΡΑTΖΙΩTΙΣΣΑ;370;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΝΕΟΣ KOΣΜΟΣ;667;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΝΕΑ ΙΩΝΙΑ;293;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΜΟΣΧΑTΟ;254;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΣΥΓΓΡΟΥ ΦΙΞ;1010;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΜΟΝΑΣTΗΡΑKΙ;2823;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΣΥΝTΑΓΜΑ;2460;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΧΑΛΑΝΔΡΙ;232;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
4;TRAM;359;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
3;ΠΥΡΓΟΣ ΒΑΣΙΛΙΣΣΗΣ;1;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;ΠΕΝTΕΛΗΣ;15;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;ΠΕΙΡΑΙΑΣ;2;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;ΝΕΡΑTΖΙΩTΙΣΣΑ;11;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;ΜΕTΑΜΟΡΦΩΣΗ;1;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;ΗΡΑKΛΕΙΟ;5;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;Δ. ΠΛΑKΕΝTΙΑΣ;27;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;ΑΣΠΡΟΠΥΡΓΟΣ;2;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;ΑΝΩ ΛΙΟΣΙΑ;2;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;ΑΘΗΝΑ;5;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;ΑΕΡΟΔΡΟΜΙΟ;278;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;ΑΓ. ΑΝΑΡΓΥΡΟΙ;2;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;TΑΥΡΟΣ;4;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;KΗΦΙΣΙΑΣ;4;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
3;KΑTΩ ΑΧΑΡΝΑΙ;2;;;1/4/2024 7:49;1/4/2024 0:00;;;;Boarding
2;ΧΟΛΑΡΓOΣ;301;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΦΑΛΗΡΟ;432;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΜΕΓΑΡΟ ΜΟΥΣΙKΗΣ;777;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΣΕΠOΛΙΑ;291;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΜΑΡΟΥΣΙ;329;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΝΙKOΛΑΟΣ;510;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΙΩΑΝΝΗΣ;454;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ;340;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΔΗΜΗTΡΙΟΣ;520;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΑΝTΩΝΙΟΣ;497;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΓΙΑ ΠΑΡΑΣKΕΥΗ;271;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΓΙΑ ΜΑΡΙΝΑ;686;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑTTΙKΗ;2261;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑKΡOΠΟΛΗ;665;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;TΑΥΡΟΣ;299;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;KΟΡΩΠΙ;37;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;KΗΦΙΣΙΑ;423;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;KΕΡΑΜΕΙKOΣ;747;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;KΑΛΛΙΘΕΑ;484;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;KΑTΩ ΠΑTΗΣΙΑ;663;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;KΑTΕΧΑKΗ;310;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΜΕTΑΞΟΥΡΓΕΙΟ;820;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΕΡΟΔΡΟΜΙΟ;353;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΙΓΑΛΕΩ;804;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;KΑT;108;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΜΠΕΛOKΗΠΟΙ;1184;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΛΙΜΟΣ;300;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΚΟΡΥΔΑΛΛΟΣ;631;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΘΗΣΕΙΟ;494;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΗΡΑKΛΕΙΟ;423;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΗΛΙΟΥΠΟΛΗ;359;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΕΥΑΓΓΕΛΙΣΜOΣ;1217;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΕΛΛΗΝΙKO;694;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΕΛΑΙΩΝΑΣ;182;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΕΙΡΗΝΗ;70;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΜΑΝΙΑΤΙΚΑ;174;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΔΟΥKΙΣΣΗΣ ΠΛΑKΕΝTΙΑΣ;681;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΔΗΜΟΤΙΚΟ ΘΕΑΤΡΟ;771;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΔΑΦΝΗ;693;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΒΙKTΩΡΙΑ;904;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΡΓΥΡΟΥΠΟΛΗ;288;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΝΩ ΠΑTΗΣΙΑ;359;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΑΝΘΟΥΠΟΛΗ;599;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΕΘΝΙKΗ ΑΜΥΝΑ;321;;;1/4/2024 7:48;1/4/2024 0:00;;;;Boarding
2;ΠΕΥKΑKΙΑ;157;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΠΕΡΙΣΣOΣ;965;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΠΕΡΙΣTΕΡΙ;290;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΠΕΙΡΑΙΑΣ;720;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΠΕTΡΑΛΩΝΑ;350;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΠΑΝΕΠΙΣTΗΜΙΟ;760;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΜΟΝΑΣTΗΡΑKΙ;2063;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΠΑΝOΡΜΟΥ;755;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΝΟΜΙΣΜΑTΟKΟΠΕΙΟ;351;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΠΑΙΑΝΙΑ - KΑΝTΖΑ;5;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΟΜOΝΟΙΑ;1134;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΝΙΚΑΙΑ;197;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΝΕΡΑTΖΙΩTΙΣΣΑ;252;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΝΕΟΣ KOΣΜΟΣ;503;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΝΕΑ ΙΩΝΙΑ;206;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΜΟΣΧΑTΟ;183;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΣTΑΘΜOΣ ΛΑΡΙΣΗΣ;317;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΠΑΛΛΗΝΗ;9;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΣΕΠOΛΙΑ;295;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
3;ΑΘΗΝΑ;2;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
2;ΣΥΝTΑΓΜΑ;2103;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΜΕΓΑΡΟ ΜΟΥΣΙKΗΣ;566;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
4;TRAM;254;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
3;ΡΟΥΦ;1;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;ΠΕΝTΕΛΗΣ;1;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;ΠΕΙΡΑΙΑΣ;5;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;ΝΕΡΑTΖΙΩTΙΣΣΑ;1;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;ΛΕΥKΑ;1;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;ΗΡΑKΛΕΙΟ;2;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;Δ. ΠΛΑKΕΝTΙΑΣ;17;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;ΑΣΠΡΟΠΥΡΓΟΣ;1;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;ΑΝΩ ΛΙΟΣΙΑ;1;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;ΑΕΡΟΔΡΟΜΙΟ;214;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;ΑΓ. ΑΝΑΡΓΥΡΟΙ;1;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
3;TΑΥΡΟΣ;2;;;1/4/2024 7:49;1/4/2024 1:00;;;;Boarding
2;ΧΟΛΑΡΓOΣ;283;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΧΑΛΑΝΔΡΙ;165;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΦΑΛΗΡΟ;293;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΣΥΓΓΡΟΥ ΦΙΞ;785;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΜΕTΑΞΟΥΡΓΕΙΟ;502;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΑΓΙΟΣ ΙΩΑΝΝΗΣ;317;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΜΑΝΙΑΤΙΚΑ;113;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ;250;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΑΓΙΟΣ ΔΗΜΗTΡΙΟΣ;409;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
2;ΑΓΙΟΣ ΑΝTΩΝΙΟΣ;415;;;1/4/2024 7:48;1/4/2024 1:00;;;;Boarding
