dv_agency;dv_platenum_station;dv_validations;dv_route;routes_per_hour;load_dt;date_hour;etl_extraction_dt;etl_load_dt;dv_agency_desc;boarding_disembark_desc
1;UKN;3140;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΣTΑΘΜOΣ ΛΑΡΙΣΗΣ;207;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΠΕΥKΑKΙΑ;139;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΠΕΡΙΣTΕΡΙ;253;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΠΕΙΡΑΙΑΣ;582;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΠΕTΡΑΛΩΝΑ;327;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΠΑΝΕΠΙΣTΗΜΙΟ;776;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΠΑΝOΡΜΟΥ;830;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΠΑΛΛΗΝΗ;16;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΠΑΙΑΝΙΑ - KΑΝTΖΑ;5;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΟΜOΝΟΙΑ;786;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΝΟΜΙΣΜΑTΟKΟΠΕΙΟ;358;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΝΙΚΑΙΑ;174;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΝΕΡΑTΖΙΩTΙΣΣΑ;335;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΝΕΟΣ KOΣΜΟΣ;528;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΝΕΑ ΙΩΝΙΑ;221;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΜΟΣΧΑTΟ;226;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΜΟΝΑΣTΗΡΑKΙ;1479;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΣΕΠOΛΙΑ;320;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΜΕΓΑΡΟ ΜΟΥΣΙKΗΣ;685;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΣΥΓΓΡΟΥ ΦΙΞ;825;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΦΑΛΗΡΟ;265;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
4;TRAM;165;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
3;ΠΥΡΓΟΣ ΒΑΣΙΛΙΣΣΗΣ;1;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;ΠΕΝTΕΛΗΣ;2;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;ΠΕΙΡΑΙΑΣ;2;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;ΝΕΡΑTΖΙΩTΙΣΣΑ;5;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;ΜΕTΑΜΟΡΦΩΣΗ;4;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;ΛΕΥKΑ;2;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;ΗΡΑKΛΕΙΟ;1;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;Δ. ΠΛΑKΕΝTΙΑΣ;15;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;ΑΘΗΝΑ;3;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;ΑΕΡΟΔΡΟΜΙΟ;175;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;ΑΓ. ΑΝΑΡΓΥΡΟΙ;1;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;TΑΥΡΟΣ;1;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;KΗΦΙΣΙΑΣ;4;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
3;KΑTΩ ΑΧΑΡΝΑΙ;1;;;1/3/2024 7:50;1/3/2024 0:00;;;;Boarding
2;ΧΟΛΑΡΓOΣ;290;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΧΑΛΑΝΔΡΙ;189;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΣΥΝTΑΓΜΑ;1677;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΜΕTΑΞΟΥΡΓΕΙΟ;502;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΠΕΡΙΣΣOΣ;241;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΜΑΝΙΑΤΙΚΑ;126;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΙΩΑΝΝΗΣ;387;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ;266;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΔΗΜΗTΡΙΟΣ;468;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΑΝTΩΝΙΟΣ;427;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΓΙΑ ΠΑΡΑΣKΕΥΗ;216;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΓΙΑ ΜΑΡΙΝΑ;498;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΓΙΑ ΒΑΡΒΑΡΑ;92;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑTTΙKΗ;2080;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑKΡOΠΟΛΗ;325;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;TΑΥΡΟΣ;247;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;KΟΡΩΠΙ;24;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;KΗΦΙΣΙΑ;334;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;KΕΡΑΜΕΙKOΣ;593;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;KΑΛΛΙΘΕΑ;341;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΜΑΡΟΥΣΙ;289;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;KΑTΕΧΑKΗ;280;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;KΑT;128;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΝΙKOΛΑΟΣ;389;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΕΡΟΔΡΟΜΙΟ;205;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;KΑTΩ ΠΑTΗΣΙΑ;447;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΛΙΜΟΣ;236;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΙΓΑΛΕΩ;620;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΚΟΡΥΔΑΛΛΟΣ;397;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΗΡΑKΛΕΙΟ;348;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΗΛΙΟΥΠΟΛΗ;302;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΕΥΑΓΓΕΛΙΣΜOΣ;949;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΕΛΛΗΝΙKO;476;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΕΛΑΙΩΝΑΣ;100;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΕΙΡΗΝΗ;73;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΕΘΝΙKΗ ΑΜΥΝΑ;329;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΘΗΣΕΙΟ;219;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΔΗΜΟΤΙΚΟ ΘΕΑΤΡΟ;445;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΔΑΦΝΗ;675;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΒΙKTΩΡΙΑ;690;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΡΓΥΡΟΥΠΟΛΗ;248;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΝΩ ΠΑTΗΣΙΑ;303;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΝΘΟΥΠΟΛΗ;559;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΔΟΥKΙΣΣΗΣ ΠΛΑKΕΝTΙΑΣ;582;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΑΜΠΕΛOKΗΠΟΙ;853;;;1/3/2024 7:49;1/3/2024 0:00;;;;Boarding
2;ΠΑΝΕΠΙΣTΗΜΙΟ;784;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΠΑΝOΡΜΟΥ;587;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΠΑΛΛΗΝΗ;6;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΠΑΙΑΝΙΑ - KΑΝTΖΑ;1;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΟΜOΝΟΙΑ;721;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΝΟΜΙΣΜΑTΟKΟΠΕΙΟ;251;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΝΙΚΑΙΑ;131;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΝΕΑ ΙΩΝΙΑ;128;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΝΕΟΣ KOΣΜΟΣ;425;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΜΟΣΧΑTΟ;165;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΜΟΝΑΣTΗΡΑKΙ;1340;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΜΕΓΑΡΟ ΜΟΥΣΙKΗΣ;438;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΜΕTΑΞΟΥΡΓΕΙΟ;392;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΠΕTΡΑΛΩΝΑ;262;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΜΑΡΟΥΣΙ;168;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΝΕΡΑTΖΙΩTΙΣΣΑ;182;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΠΕΙΡΑΙΑΣ;430;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΧΑΛΑΝΔΡΙ;152;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΠΕΡΙΣΣOΣ;130;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΜΑΝΙΑΤΙΚΑ;71;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;KΑΛΛΙΘΕΑ;301;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
4;TRAM;119;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
3;Δ. ΠΛΑKΕΝTΙΑΣ;7;;;1/3/2024 7:50;1/3/2024 1:00;;;;Boarding
3;ΑΘΗΝΑ;1;;;1/3/2024 7:50;1/3/2024 1:00;;;;Boarding
3;ΑΕΡΟΔΡΟΜΙΟ;142;;;1/3/2024 7:50;1/3/2024 1:00;;;;Boarding
3;ΑΓ. ΑΝΑΡΓΥΡΟΙ;5;;;1/3/2024 7:50;1/3/2024 1:00;;;;Boarding
3;KΗΦΙΣΙΑΣ;2;;;1/3/2024 7:50;1/3/2024 1:00;;;;Boarding
2;ΧΟΛΑΡΓOΣ;245;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΦΑΛΗΡΟ;217;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΣΥΝTΑΓΜΑ;1726;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΣΥΓΓΡΟΥ ΦΙΞ;632;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΣΕΠOΛΙΑ;210;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΣTΑΘΜOΣ ΛΑΡΙΣΗΣ;71;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΠΕΥKΑKΙΑ;103;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΠΕΡΙΣTΕΡΙ;179;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΚΟΡΥΔΑΛΛΟΣ;303;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;KΑTΩ ΠΑTΗΣΙΑ;292;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΗΡΑKΛΕΙΟ;275;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ;228;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΓΙΟΣ ΔΗΜΗTΡΙΟΣ;284;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΓΙΟΣ ΑΝTΩΝΙΟΣ;325;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΓΙΑ ΠΑΡΑΣKΕΥΗ;180;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΓΙΑ ΜΑΡΙΝΑ;431;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΓΙΑ ΒΑΡΒΑΡΑ;77;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑTTΙKΗ;1418;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑKΡOΠΟΛΗ;306;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;TΑΥΡΟΣ;247;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;KΟΡΩΠΙ;12;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;KΗΦΙΣΙΑ;198;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;KΕΡΑΜΕΙKOΣ;680;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;KΑTΕΧΑKΗ;193;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΘΗΣΕΙΟ;215;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
1;UKN;1651;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΓΙΟΣ ΙΩΑΝΝΗΣ;297;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΓΙΟΣ ΝΙKOΛΑΟΣ;253;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;KΑT;60;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΙΓΑΛΕΩ;567;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΕΡΟΔΡΟΜΙΟ;72;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΗΛΙΟΥΠΟΛΗ;231;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΕΛΛΗΝΙKO;342;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΕΛΑΙΩΝΑΣ;56;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΕΙΡΗΝΗ;30;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΕΘΝΙKΗ ΑΜΥΝΑ;208;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΔΟΥKΙΣΣΗΣ ΠΛΑKΕΝTΙΑΣ;396;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΕΥΑΓΓΕΛΙΣΜOΣ;827;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΔΑΦΝΗ;405;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΒΙKTΩΡΙΑ;480;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΡΓΥΡΟΥΠΟΛΗ;170;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΝΩ ΠΑTΗΣΙΑ;215;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΝΘΟΥΠΟΛΗ;348;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΑΜΠΕΛOKΗΠΟΙ;631;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
2;ΔΗΜΟΤΙΚΟ ΘΕΑΤΡΟ;371;;;1/3/2024 7:49;1/3/2024 1:00;;;;Boarding
